pos_word,pos_freq,pos_total
commitment,4,158.0
create,4,
addition,2,
clean,15,
growth,2,
protect,1,
support,15,
future,2,
air,3,
action,2,
better,2,
will,28,
life,2,
affordable,5,
focus,1,
fair,2,
comfortable,1,
easier,1,
live,1,
good,1,
benefits,1,
community,1,
help,5,
energy,8,
free,2,
benefit,1,
savings,1,
simple,1,
encourage,1,
active,4,
achieve,4,
healthy,1,
efficiency,1,
smart,1,
opportunity,1,
reliable,1,
connect,1,
abundant,1,
grow,2,
fit,1,
engage,1,
well,2,
scope,1,
advantage,1,
order,1,
resilient,2,
involve,1,
transformation,1,
collected,1,
best,1,
transformative,1,
enable,1,
power,1,
helping,1,
understand,1,
change,2,
restore,1,
contribution,1,
effectiveness,1,
time,1,
confident,1,
service,1,
